Movie Title,Duration,Rating,Release Year,Genre
The Last King of Scotland,123 min,7.7,2006,"Biography, Drama, History"
The Two Popes,125 min,7.6,2019,"Comedy, Drama"
Young Guns II,104 min,6.5,1990,"Action, Western"
Howards End,142 min,7.4,1992,"Drama, Romance"
Girl with a Pearl Earring,100 min,6.9,2003,"Biography, Drama, Romance"
The Preacher's Wife,123 min,5.6,1996,"Comedy, Drama, Fantasy"
"The Adventures of Priscilla, Queen of the Desert",104 min,7.5,1994,"Comedy, Music"
The Artist,100 min,7.9,I 2011,"Comedy, Drama, Romance"
Monster House,91 min,6.6,2006,"Animation, Comedy, Family"
The Commitments,118 min,7.6,1991,"Comedy, Drama, Music"
United 93,111 min,7.6,2006,"Action, Drama, History"
Babe,91 min,6.8,1995,"Comedy, Drama, Family"
Air Force One,124 min,6.5,1997,"Action, Drama, Thriller"
Christopher Robin,104 min,7.3,2018,"Animation, Adventure, Comedy"
"Quo vadis, Aida?",101 min,7.9,2020,"Drama, History, War"
Ray,152 min,7.7,I 2004,"Biography, Drama, Music"
Doubt,104 min,7.5,I 2008,"Drama, Mystery"
Kung Fu Panda 2,90 min,7.2,2011,"Animation, Action, Adventure"
Kaze tachinu,126 min,7.8,2013,"Animation, Biography, Drama"
Once,86 min,7.8,I 2007,"Drama, Music, Romance"
Nine,118 min,5.8,2009,"Drama, Musical, Romance"
Star Trek: First Contact,111 min,7.6,1996,"Action, Adventure, Drama"
Capote,114 min,7.3,2005,"Biography, Crime, Drama"
Emma,120 min,6.7,1996,"Comedy, Drama, Romance"
Damage,111 min,6.8,1992,"Drama, Romance"
The Muppets,120 min,7.1,2011,"Adventure, Comedy, Family"
Amistad,155 min,7.3,1997,"Biography, Drama, History"
Titus,162 min,7.1,1999,"Drama, History, Thriller"
My Week with Marilyn,99 min,6.9,2011,"Biography, Drama"
Gräns,110 min,7.0,2018,"Crime, Drama, Fantasy"
Nobody's Fool,110 min,7.4,1994,"Comedy, Drama"
Lars and the Real Girl,106 min,7.3,2007,"Comedy, Drama, Romance"
U-571,116 min,6.6,2000,"Action, War"
Invictus,134 min,7.3,2009,"Biography, Drama, History"
James and the Giant Peach,79 min,6.7,1996,"Animation, Adventure, Family"
Frankenstein,123 min,6.4,1994,"Drama, Horror, Romance"
The Kite Runner,128 min,7.6,2007,Drama
Finding Neverland,106 min,7.6,2004,"Biography, Drama, Family"
Hitchcock,98 min,6.8,2012,"Biography, Drama, Romance"
Patch Adams,115 min,6.8,1998,"Biography, Comedy, Drama"
Marshall,118 min,7.3,2017,"Biography, Crime, Drama"
Surf's Up,85 min,6.7,2007,"Animation, Adventure, Comedy"
The Squid and the Whale,81 min,7.3,2005,"Comedy, Drama"
Victoria & Abdul,111 min,6.8,2017,"Biography, Drama, History"
Brother Bear,85 min,6.8,2003,"Animation, Adventure, Comedy"
Amour,127 min,7.9,2012,Drama
A Simple Plan,121 min,7.5,1998,"Crime, Drama, Thriller"
Short Cuts,188 min,7.7,1993,"Comedy, Drama"
Animal Kingdom,113 min,7.3,2010,"Crime, Drama"
The Cooler,101 min,6.9,2003,"Drama, Romance"
I'm Not There,135 min,6.9,2007,"Biography, Drama, Music"
The Full Monty,91 min,7.2,1997,"Comedy, Drama"
The Man Who Wasn't There,116 min,7.5,2001,"Crime, Drama"
Election,103 min,7.2,1999,"Comedy, Romance"
Milk,128 min,7.5,I 2008,"Biography, Drama"
W.E.,119 min,6.3,2011,"Drama, History, Romance"
An Education,100 min,7.3,2009,Drama
Bicentennial Man,132 min,6.9,1999,"Comedy, Drama, Sci-Fi"
The Duchess,110 min,6.9,2008,"Biography, Drama, History"
The Fisher King,137 min,7.5,1991,"Comedy, Drama, Fantasy"
Elizabeth: The Golden Age,114 min,6.8,2007,"Biography, Drama, History"
Breaking the Waves,159 min,7.8,1996,Drama
House of Sand and Fog,126 min,7.5,2003,"Crime, Drama"
Letters from Iwo Jima,141 min,7.9,2006,"Action, Adventure, Drama"
The People vs. Larry Flynt,130 min,7.3,1996,"Biography, Drama"
Spirit: Stallion of the Cimarron,83 min,7.2,2002,"Animation, Adventure, Drama"
The Kids Are All Right,106 min,7.0,2010,"Comedy, Drama, Romance"
Shaonian de ni,135 min,7.6,2019,"Crime, Drama, Romance"
The Mirror Has Two Faces,126 min,6.6,1996,"Comedy, Drama, Romance"
Syriana,128 min,6.9,2005,"Drama, Thriller"
The Wolfman,103 min,5.8,2010,"Drama, Fantasy, Horror"
August Rush,114 min,7.5,2007,"Drama, Music"
Mr. Turner,150 min,6.8,2014,"Biography, Drama, History"
Forushande,124 min,7.7,2016,Drama
Toni Erdmann,162 min,7.4,2016,"Comedy, Drama"
Lust och fägring stor,130 min,6.9,1995,"Drama, Romance, War"
Selma,128 min,7.5,2014,"Biography, Drama, History"
Loving Vincent,94 min,7.8,2017,"Animation, Biography, Crime"
The Straight Story,112 min,8.0,1999,"Biography, Drama"
The Iron Lady,105 min,6.4,2011,"Biography, Drama"
Geronimo: An American Legend,115 min,6.5,1993,"Drama, History, Western"
Kubo and the Two Strings,101 min,7.8,2016,"Animation, Action, Adventure"
Philomena,98 min,7.6,2013,"Biography, Comedy, Drama"
Loving,123 min,7.0,2016,"Biography, Drama, Romance"
The American President,114 min,6.8,1995,"Comedy, Drama, Romance"
En kongelig affære,137 min,7.5,2012,"Biography, Drama, History"
A Mighty Wind,91 min,7.2,2003,"Comedy, Music"
La Vie En Rose,140 min,7.6,2007,"Biography, Drama, Music"
Over the Moon,95 min,6.4,2020,"Animation, Adventure, Comedy"
102 Dalmatians,100 min,4.9,2000,"Adventure, Comedy, Family"
Chaplin,143 min,7.5,1992,"Biography, Comedy, Drama"
Eraser,115 min,6.1,1996,"Action, Crime, Thriller"
Puss in Boots,90 min,6.6,2011,"Animation, Adventure, Comedy"
The Wife,99 min,7.2,I 2017,Drama
Daylight,114 min,5.9,1996,"Action, Adventure, Drama"
Dave,110 min,6.8,1993,"Comedy, Romance"
Wonder Boys,107 min,7.3,2000,"Comedy, Drama"
All Is Lost,106 min,6.9,2013,"Action, Adventure, Drama"
Anomalisa,90 min,7.3,2015,"Animation, Comedy, Drama"
Flags of Our Fathers,135 min,7.1,2006,"Action, Adventure, Drama"
Dead Man Walking,122 min,7.5,1995,"Crime, Drama"
Florence Foster Jenkins,111 min,6.8,2016,"Biography, Comedy, Drama"
Notes on a Scandal,92 min,7.4,2006,"Crime, Drama, Romance"
Seabiscuit,140 min,7.3,2003,"Drama, History, Sport"
Can You Ever Forgive Me?,106 min,7.1,2018,"Biography, Comedy, Crime"
In & Out,90 min,6.4,1997,"Comedy, Romance"
"Good Night, and Good Luck.",93 min,7.4,2005,"Biography, Drama, History"
Flatliners,115 min,6.6,1990,"Drama, Horror, Sci-Fi"
The Sessions,95 min,7.2,2012,"Biography, Comedy, Drama"
Mirror Mirror,106 min,5.6,I 2012,"Adventure, Comedy, Drama"
Kate & Leopold,118 min,6.4,2001,"Comedy, Fantasy, Romance"
Wag the Dog,97 min,7.1,1997,"Comedy, Drama"
Rob Roy,139 min,6.9,1995,"Adventure, Biography, Drama"
What's Love Got to Do with It,118 min,7.3,1993,"Biography, Drama, Music"
Quills,124 min,7.3,2000,"Biography, Drama"
Secrets & Lies,136 min,8.0,1996,"Comedy, Drama"
"Roman J. Israel, Esq.",122 min,6.5,2017,"Crime, Drama, Thriller"
Trumbo,124 min,7.5,2015,"Biography, Crime, Drama"
Velvet Goldmine,118 min,7.0,1998,"Drama, Music"
Song of the Sea,93 min,8.1,2014,"Animation, Adventure, Drama"
The Curse of the Were-Rabbit,85 min,7.4,2005,"Animation, Adventure, Comedy"
Hustle & Flow,116 min,7.3,2005,"Crime, Drama, Music"
Bugsy,136 min,6.8,1991,"Biography, Crime, Drama"
The Ghost and the Darkness,110 min,6.8,1996,"Adventure, Drama, Thriller"
About Schmidt,125 min,7.1,2002,"Comedy, Drama"
Under sandet,100 min,7.8,2015,"Drama, History, War"
Quiz Show,133 min,7.5,1994,"Biography, Drama, History"
North Country,126 min,7.3,2005,Drama
In the Bedroom,131 min,7.4,2001,"Crime, Drama"
Henry & June,136 min,6.3,1990,"Biography, Drama"
The One and Only Ivan,95 min,6.6,2020,"Adventure, Comedy, Drama"
Breakthrough,116 min,6.3,2019,"Biography, Drama"
The Man Who Sold His Skin,104 min,7.0,2020,Drama
In the Loop,106 min,7.4,2009,Comedy
Orlando,94 min,7.2,1992,"Biography, Drama, Fantasy"
Far from Heaven,107 min,7.4,2002,"Drama, Romance"
Mr. Holland's Opus,143 min,7.3,1995,"Drama, Music"
Junior,109 min,4.7,1994,"Comedy, Romance, Sci-Fi"
Frankenweenie,87 min,6.9,2012,"Animation, Comedy, Drama"
Beethoven's 2nd,89 min,5.0,1993,"Comedy, Family, Romance"
The Contender,126 min,6.9,2000,"Drama, Thriller"
Rachel Getting Married,113 min,6.7,2008,"Drama, Romance"
Anonymous,130 min,6.9,I 2011,"Drama, Thriller"
Mighty Aphrodite,95 min,7.0,1995,"Comedy, Fantasy, Romance"
Boze Cialo,115 min,7.7,2019,Drama
The End of the Affair,102 min,7.1,1999,"Drama, Romance"
ParaNorman,92 min,7.0,2012,"Animation, Adventure, Comedy"
You Can Count on Me,111 min,7.5,2000,Drama
Bullets Over Broadway,98 min,7.4,1994,"Comedy, Crime"
Hereafter,129 min,6.4,2010,"Drama, Fantasy, Romance"
Lagaan: Once Upon a Time in India,224 min,8.1,2001,"Drama, Musical, Sport"
Jimmy Neutron: Boy Genius,82 min,6.1,2001,"Animation, Action, Adventure"
The Hurricane,146 min,7.6,1999,"Biography, Drama, Sport"
Poetic Justice,109 min,6.1,1993,"Drama, Romance"
Nixon,192 min,7.1,1995,"Biography, Drama, History"
Pieces of April,80 min,7.0,2003,"Comedy, Drama"
The Horse Whisperer,169 min,6.6,1998,"Drama, Romance, Western"
The Broken Circle Breakdown,111 min,7.7,2012,"Drama, Music, Romance"
Persepolis,96 min,8.0,2007,"Animation, Biography, Drama"
Reversal of Fortune,111 min,7.2,1990,"Biography, Drama, Mystery"
Io sono l'amore,120 min,7.0,2009,"Drama, Romance"
Hoffa,140 min,6.6,1992,"Biography, Crime, Drama"
Rabbit Hole,91 min,7.0,2010,Drama
Toys,118 min,5.1,1992,"Adventure, Comedy, Drama"
Marvin's Room,98 min,6.7,1996,Drama
Frost/Nixon,122 min,7.7,2008,"Biography, Drama, History"
Mr. Saturday Night,119 min,5.9,1992,"Comedy, Drama"
Don Juan DeMarco,97 min,6.7,1994,"Comedy, Drama, Romance"
Kinsey,118 min,7.1,2004,"Biography, Drama, Romance"
The Visitor,104 min,7.6,I 2007,Drama
Shine,105 min,7.7,1996,"Biography, Drama, Music"
Kundun,134 min,7.0,1997,"Biography, Drama, History"
45 Years,91 min,7.1,2015,"Drama, Romance"
One Fine Day,108 min,6.5,1996,"Comedy, Drama, Romance"
Gods and Monsters,105 min,7.4,1998,"Biography, Drama"
Evita,135 min,6.3,1996,"Biography, Drama, History"
Mighty Joe Young,114 min,5.7,1998,"Action, Adventure, Family"
Michael Collins,133 min,7.2,1996,"Biography, Drama, Thriller"
Half Nelson,106 min,7.2,2006,Drama
The Grifters,110 min,6.9,1990,"Crime, Drama, Thriller"
Kon-Tiki,118 min,7.2,2012,"Adventure, Biography, Drama"
The Prince of Tides,132 min,6.8,1991,"Drama, Romance"
The Sweet Hereafter,112 min,7.5,1997,Drama
Before Night Falls,133 min,7.2,2000,"Biography, Drama, Romance"
Quest for Camelot,86 min,6.3,1998,"Animation, Adventure, Comedy"
The Secret of Kells,71 min,7.6,2009,"Animation, Adventure, Family"
Shadow of the Vampire,92 min,6.9,2000,"Drama, Horror"
Angela's Ashes,145 min,7.3,1999,"Biography, Drama"
Shadowlands,131 min,7.3,1993,"Biography, Drama, Romance"
Mrs. Henderson Presents,103 min,7.0,2005,"Comedy, Drama, Music"
In the Valley of Elah,121 min,7.1,2007,"Crime, Drama, Mystery"
Bad Grandpa,92 min,6.5,2013,Comedy
Lone Star,135 min,7.4,1996,"Drama, Mystery"
Missing Link,93 min,6.7,2019,"Animation, Adventure, Comedy"
Lorenzo's Oil,129 min,7.3,1992,"Biography, Drama"
The Breadwinner,94 min,7.7,2017,"Animation, Drama, Family"
Metropolitan,98 min,7.4,1990,"Comedy, Drama, Romance"
Dirty Pretty Things,97 min,7.3,2002,"Crime, Drama, Thriller"
Beyond the Lights,116 min,6.9,2014,"Drama, Music, Romance"
Happy-Go-Lucky,118 min,7.0,2008,"Comedy, Drama, Romance"
Beloved,172 min,6.0,1998,"Drama, History, Horror"
Green Card,107 min,6.2,1990,"Comedy, Drama, Romance"
Pollock,122 min,7.0,2000,"Biography, Drama"
Whale Rider,101 min,7.5,2002,"Drama, Family"
Efter brylluppet,120 min,7.7,2006,Drama
Nell,112 min,6.5,1994,Drama
Shaun the Sheep Movie,85 min,7.3,2015,"Animation, Adventure, Comedy"
Mrs Brown,101 min,7.2,1997,"Biography, Drama, History"
Postcards from the Edge,101 min,6.7,1990,"Comedy, Drama"
Fly Away Home,107 min,6.8,1996,"Adventure, Drama, Family"
Country Strong,117 min,6.3,2010,"Drama, Music"
Affliction,114 min,6.9,1997,"Drama, Mystery, Thriller"
Topsy-Turvy,160 min,7.4,1999,"Biography, Comedy, Drama"
Mandela: Long Walk to Freedom,141 min,7.1,2013,"Biography, Drama, History"
The Boxtrolls,96 min,6.8,2014,"Animation, Adventure, Comedy"
Coco avant Chanel,105 min,6.7,2009,"Biography, Drama"
Der Baader Meinhof Komplex,150 min,7.4,2008,"Action, Biography, Crime"
Searching for Bobby Fischer,109 min,7.4,1993,"Biography, Drama, Sport"
Hamlet,135 min,6.7,1990,Drama
Deconstructing Harry,96 min,7.4,1997,Comedy
Another Year,129 min,7.4,2010,"Comedy, Drama"
The Madness of King George,110 min,7.2,1994,"Biography, Comedy, Drama"
"Deux jours, une nuit",95 min,7.3,2014,Drama
Hævnen,118 min,7.6,2010,"Drama, Romance"
Les triplettes de Belleville,80 min,7.8,2003,"Animation, Comedy, Drama"
Primary Colors,143 min,6.7,1998,"Comedy, Drama"
No Man's Land,98 min,7.9,I 2001,"Comedy, Drama, War"
Transamerica,103 min,7.4,2005,"Adventure, Comedy, Drama"
Bulworth,108 min,6.8,1998,"Comedy, Drama, Romance"
Venus,95 min,7.1,I 2006,"Comedy, Drama, Romance"
The Pirates! In an Adventure with Scientists!,88 min,6.7,2012,"Animation, Adventure, Comedy"
American Splendor,101 min,7.4,2003,"Biography, Comedy, Drama"
Mirai no Mirai,98 min,7.0,2018,"Animation, Adventure, Drama"
The Messenger,113 min,7.1,I 2009,"Drama, Romance, War"
Babe: Pig in the City,97 min,5.8,1998,"Adventure, Comedy, Drama"
Fearless,122 min,7.1,1993,"Drama, Thriller"
The Tempest,110 min,5.4,I 2010,"Comedy, Drama, Fantasy"
Anna and the King,148 min,6.7,1999,"Drama, History, Romance"
Albert Nobbs,113 min,6.7,2011,"Drama, Romance"
Il divo,110 min,7.3,2008,"Biography, Drama"
The Wings of the Dove,102 min,7.1,1997,"Drama, Romance"
In America,105 min,7.7,2002,Drama
The Savages,114 min,7.1,2007,"Comedy, Drama"
The Good German,105 min,6.0,2006,"Drama, Mystery, Romance"
El abrazo de la serpiente,125 min,7.9,2015,"Adventure, Biography, Drama"
Rambling Rose,112 min,6.6,1991,Drama
The Quiet American,101 min,7.0,2002,"Drama, Romance, Thriller"
Le violon rouge,130 min,7.6,1998,"Drama, Music, Mystery"
Iris,91 min,7.0,I 2001,"Biography, Drama, Romance"
Richard III,110 min,7.4,1995,"Drama, Sci-Fi, War"
Havana,144 min,6.1,I 1990,"Drama, Romance, War"
The Paper,112 min,6.7,1994,"Comedy, Drama"
Hundraåringen som klev ut genom fönstret och försvann,114 min,7.1,2013,"Adventure, Comedy"
A Civil Action,115 min,6.6,1998,Drama
Away from Her,110 min,7.5,2006,Drama
Vera Drake,125 min,7.6,2004,"Crime, Drama"
Avalon,128 min,7.2,1990,Drama
Angels and Insects,116 min,6.8,1995,"Drama, Romance"
The Invisible Woman,111 min,6.2,2013,"Biography, Drama, History"
Junebug,106 min,6.9,2005,"Comedy, Drama"
Ghosts of Mississippi,130 min,6.7,1996,"Drama, History"
Blue Sky,101 min,6.4,1994,"Drama, Romance"
Barney's Version,134 min,7.3,2010,"Comedy, Drama"
A Shaun the Sheep Movie: Farmageddon,86 min,6.8,2019,"Animation, Adventure, Comedy"
My Family,128 min,7.3,1995,Drama
Monsieur Lazhar,95 min,7.5,2011,"Comedy, Drama"
The Gruffalo,27 min,7.5,2009 TV Movie,"Animation, Family, Fantasy"
L'illusionniste,90 min,7.5,2010,"Animation, Drama, Fantasy"
The Apostle,134 min,7.2,1997,Drama
One True Thing,127 min,7.0,1998,Drama
Die Fälscher,99 min,7.6,2007,"Crime, Drama, History"
Ernest et Célestine,80 min,7.9,2012,"Animation, Adventure, Comedy"
Maria Full of Grace,101 min,7.4,2004,"Crime, Drama"
Restoration,117 min,6.6,1995,"Biography, Drama, History"
Grand Canyon,134 min,6.8,1991,"Crime, Drama"
Up Close & Personal,124 min,6.2,1996,"Drama, Romance"
Snow Falling on Cedars,127 min,6.8,1999,"Drama, Mystery, Romance"
For the Boys,138 min,6.4,1991,"Comedy, Drama, Music"
Hilary and Jackie,121 min,7.3,1998,"Biography, Drama, Music"
The Last Station,112 min,7.0,2009,"Biography, Drama, Romance"
The Wild Thornberrys Movie,85 min,5.6,2002,"Animation, Adventure, Comedy"
The Field,107 min,7.4,1990,"Drama, Thriller"
Så som i himmelen,133 min,7.5,2004,"Comedy, Drama, Music"
Husbands and Wives,108 min,7.5,1992,"Comedy, Drama, Romance"
Sweet and Lowdown,95 min,7.2,1999,"Comedy, Drama, Music"
Mediterraneo,96 min,7.5,1991,"Comedy, Drama, War"
Oscar and Lucinda,132 min,6.6,1997,"Drama, Romance"
A Better Life,98 min,7.2,2011,"Drama, Romance"
Tsotsi,95 min,7.2,2005,"Crime, Drama"
Enchanted April,95 min,7.4,1991,Drama
Little Voice,97 min,7.0,1998,"Comedy, Drama, Music"
Frozen River,97 min,7.1,2008,"Crime, Drama"
Being Julia,104 min,7.0,2004,"Comedy, Drama, Romance"
Les invasions barbares,99 min,7.6,2003,"Comedy, Crime, Drama"
Music of the Heart,124 min,6.8,1999,"Drama, Music"
Xi yan,106 min,7.6,1993,"Comedy, Drama, Romance"
Pred dozhdot,113 min,8.0,1994,"Drama, Romance, War"
Alice,106 min,6.6,1990,"Comedy, Romance"
Passion Fish,135 min,7.4,1992,Drama
Krigen,115 min,7.1,2015,"Crime, Drama, Thriller"
Room on the Broom,25 min,7.6,2012 TV Movie,"Animation, Comedy, Family"
Nirgendwo in Afrika,141 min,7.5,2001,"Biography, Drama, History"
Theeb,100 min,7.2,2014,"Adventure, Drama, Thriller"
The Affair of the Necklace,118 min,6.1,2001,"Drama, History, Romance"
Love Field,105 min,6.6,1992,Drama
Ulee's Gold,113 min,7.0,1997,Drama
Solomon and Gaenor,105 min,6.8,1999,"Drama, Romance"
The Mambo Kings,104 min,6.4,1992,"Drama, Music"
Timbuktu,96 min,7.2,2014,"Drama, War"
Afterglow,119 min,6.1,1997,"Comedy, Drama, Romance"
Tom & Viv,125 min,6.3,1994,"Biography, Drama, Romance"
Paradise Now,91 min,7.4,2005,"Crime, Drama, Thriller"
Une vie de chat,70 min,6.9,2010,"Animation, Adventure, Comedy"
Chico & Rita,94 min,7.2,2010,"Animation, Crime, Drama"
Vatel,103 min,6.6,2000,"Biography, Drama, Romance"
Karakter,122 min,7.7,1997,"Crime, Drama, Mystery"
Tumbleweeds,102 min,6.7,1999,"Comedy, Drama"
Georgia,115 min,6.6,1995,"Drama, Music"
Mr. & Mrs. Bridge,126 min,6.6,1990,Drama
Yesterday,90 min,7.5,I 2004,Drama
La bestia nel cuore,120 min,6.4,2005,"Drama, Mystery"
Fresa y chocolate,108 min,7.4,1993,"Comedy, Drama, Romance"
Le goût des autres,112 min,7.2,2000,"Comedy, Drama, Romance"
Alone Yet Not Alone,103 min,4.6,2013,"Action, Drama, History"
Unstrung Heroes,93 min,6.7,1995,"Comedy, Drama"
Jenseits der Stille,109 min,7.5,1996,"Drama, Music"
Roommates,108 min,6.4,1995,"Comedy, Drama"
"O Que é Isso, Companheiro?",110 min,7.4,1997,"Action, Drama, History"
De Tweeling,137 min,7.4,2002,"Drama, Romance, War"
Hors la loi,138 min,6.6,2010,"Crime, Drama, War"
Börn náttúrunnar,82 min,7.3,1991,"Drama, Romance"
China's Unnatural Disaster: The Tears of Sichuan Province,38 min,7.4,2009 TV Movie,Documentary
Iedereen beroemd!,97 min,7.0,2000,"Comedy, Drama, Music"
Hedd Wyn,123 min,7.1,1992,"Drama, Romance, War"
Zus & zo,106 min,6.2,2001,"Comedy, Fantasy, Romance"
Little Surprises,36 min,7.5,1996 TV Movie,"Comedy, Drama"
The Last Truck: Closing of a GM Plant,40 min,6.9,2009 TV Movie,Documentary
Duke of Groove,32 min,5.8,1995 TV Movie,Drama
Partners,36 min,5.7,1993 TV Movie,[None]
LaLee's Kin: The Legacy of Cotton,89 min,7.7,2001 TV Movie,Documentary
Autism Is a World,40 min,6.8,2004 TV Movie,Documentary
Liberators: Fighting on Two Fronts in World War II,90 min,4.4,1992 TV Movie,"Documentary, War"
Family Video Diaries: Daughter of the Bride,30 min,6.2,1997 TV Movie,Documentary
